Tiempo(s),Latitud,Longitud,Presión(Pa),Temperatura(°C),Humedad(%),Altitud_BMP280(m),Altitud_Relativa(m),Altitud_GPS(m),AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),MagX(μT),MagY(μT),MagZ(μT)
0.00,0.000000,0.000000,75189.55,35.19,0.00,43.03,43.03,0.00,0.07,0.14,0.90,-5.79,-7.54,-3.91,764.00,24320.00,29786.00
2.02,0.000000,0.000000,75189.86,35.18,0.00,42.99,42.99,0.00,-0.05,0.23,0.92,-5.09,-42.86,-76.38,764.00,24320.00,29786.00
4.00,0.000000,0.000000,75190.71,35.19,0.00,42.90,42.90,0.00,0.08,0.13,0.83,-32.69,28.56,-45.81,764.00,24320.00,29786.00
6.02,0.000000,0.000000,75192.69,35.20,0.00,42.69,42.69,0.00,-0.12,0.08,0.67,-10.13,13.15,-46.64,764.00,24320.00,29786.00
8.02,0.000000,0.000000,75193.94,35.21,0.00,42.56,42.56,0.00,0.10,-0.06,1.19,16.05,-16.85,-46.90,764.00,24320.00,29786.00
10.00,0.000000,0.000000,75194.52,35.22,0.00,42.50,42.50,0.00,0.13,0.23,0.91,-9.92,16.83,71.45,764.00,24320.00,29786.00
12.00,0.000000,0.000000,75194.92,35.22,0.00,42.46,42.46,0.00,0.07,0.20,0.90,-5.64,11.12,-16.82,764.00,24320.00,29786.00
15.99,0.000000,0.000000,75195.91,35.24,0.00,42.35,42.35,0.00,0.06,0.25,0.91,-5.33,-2.37,2.51,764.00,24320.00,29786.00
20.01,0.000000,0.000000,75197.98,35.25,0.00,42.13,42.13,0.00,0.14,0.06,1.16,-13.47,-0.81,-25.28,764.00,24320.00,29786.00
22.00,0.000000,0.000000,75198.87,35.26,0.00,42.04,42.04,0.00,0.07,-0.04,0.72,6.92,12.57,-12.68,764.00,24320.00,29786.00
24.00,0.000000,0.000000,75199.37,35.26,0.00,41.99,41.99,0.00,0.13,0.22,0.94,-3.75,-13.18,-2.57,764.00,24320.00,29786.00
26.01,0.000000,0.000000,75199.36,35.26,0.00,41.99,41.99,0.00,0.06,0.11,0.99,22.52,5.84,-45.93,764.00,24320.00,29786.00
28.00,0.000000,0.000000,75199.80,35.27,0.00,41.94,41.94,0.00,-0.07,0.10,0.94,4.39,-9.58,-5.26,764.00,24320.00,29786.00
30.00,0.000000,0.000000,75199.14,35.27,0.00,42.01,42.01,0.00,-0.00,0.13,0.94,2.61,-16.64,9.37,764.00,24320.00,29786.00
32.01,0.000000,0.000000,75198.84,35.27,0.00,42.04,42.04,0.00,-0.03,0.10,0.94,-5.47,-9.81,-2.38,764.00,24320.00,29786.00
34.01,0.000000,0.000000,75198.27,35.28,0.00,42.10,42.10,0.00,-0.04,0.09,0.92,0.40,-5.84,2.69,764.00,24320.00,29786.00
36.00,0.000000,0.000000,75197.66,35.28,0.00,42.17,42.17,0.00,0.02,0.11,0.96,-0.50,-2.98,0.29,764.00,24320.00,29786.00
38.00,0.000000,0.000000,75196.34,35.28,0.00,42.31,42.31,0.00,0.01,0.10,0.96,-0.44,-3.04,0.60,764.00,24320.00,29786.00
40.01,0.000000,0.000000,75196.70,35.29,0.00,42.27,42.27,0.00,0.00,0.10,0.91,-1.11,-2.94,0.37,764.00,24320.00,29786.00
42.00,0.000000,0.000000,75196.62,35.31,0.00,42.28,42.28,0.00,-0.00,0.11,0.96,-0.47,-3.14,0.36,764.00,24320.00,29786.00
44.01,0.000000,0.000000,75196.14,35.31,0.00,42.33,42.33,0.00,0.01,0.11,0.96,-0.47,-2.62,0.32,764.00,24320.00,29786.00
46.00,0.000000,0.000000,75196.15,35.31,0.00,42.33,42.33,0.00,0.01,0.11,0.96,-0.83,-3.14,0.29,764.00,24320.00,29786.00
48.01,0.000000,0.000000,75196.70,35.31,0.00,42.27,42.27,0.00,0.00,0.11,0.96,-0.60,-2.77,0.12,764.00,24320.00,29786.00
50.01,0.000000,0.000000,75196.30,35.31,0.00,42.31,42.31,0.00,0.00,0.10,0.94,-0.74,-3.78,0.61,764.00,24320.00,29786.00
52.01,0.000000,0.000000,75196.74,35.32,0.00,42.26,42.26,0.00,0.03,0.13,0.90,5.39,-0.68,-3.87,764.00,24320.00,29786.00
54.00,0.000000,0.000000,75197.14,35.31,0.00,42.22,42.22,0.00,0.04,0.12,0.98,-0.66,-3.01,0.38,764.00,24320.00,29786.00
56.01,0.000000,0.000000,75196.85,35.32,0.00,42.25,42.25,0.00,0.01,0.11,0.95,-1.44,-2.40,0.24,764.00,24320.00,29786.00
58.01,0.000000,0.000000,75196.89,35.31,0.00,42.25,42.25,0.00,-0.00,0.11,0.95,-0.56,-2.80,0.10,764.00,24320.00,29786.00
60.01,0.000000,0.000000,75196.95,35.31,0.00,42.24,42.24,0.00,0.06,0.08,0.96,-9.58,-12.57,-4.75,764.00,24320.00,29786.00
62.01,0.000000,0.000000,75196.89,35.31,0.00,42.25,42.25,0.00,-0.03,0.08,0.95,0.45,-3.08,0.56,764.00,24320.00,29786.00
64.01,0.000000,0.000000,75196.61,35.31,0.00,42.28,42.28,0.00,0.02,0.10,0.96,-0.52,-2.78,0.37,764.00,24320.00,29786.00
66.00,0.000000,0.000000,75196.09,35.31,0.00,42.33,42.33,0.00,-0.00,0.10,0.95,-0.41,-2.72,0.15,764.00,24320.00,29786.00
70.02,0.000000,0.000000,75199.21,35.31,0.00,42.00,42.00,0.00,0.45,0.95,0.18,18.03,-27.17,-117.57,764.00,24320.00,29786.00
72.01,0.000000,0.000000,75200.48,35.32,0.00,41.87,41.87,0.00,-0.07,0.14,0.96,6.68,-20.36,-17.33,764.00,24320.00,29786.00
74.00,0.000000,0.000000,75201.78,35.31,0.00,41.73,41.73,0.00,0.02,0.10,0.96,-0.63,-2.99,0.37,764.00,24320.00,29786.00
76.01,0.000000,0.000000,75202.20,35.32,0.00,41.68,41.68,0.00,0.01,0.11,0.96,-0.41,-2.57,0.25,764.00,24320.00,29786.00
78.00,0.000000,0.000000,75199.44,35.32,0.00,41.98,41.98,0.00,0.01,0.04,0.93,2.18,-11.25,-48.14,764.00,24320.00,29786.00
80.03,0.000000,0.000000,75196.99,35.32,0.00,42.24,42.24,0.00,-0.73,-0.35,0.53,-3.04,-1.74,-69.27,764.00,24320.00,29786.00
82.03,0.000000,0.000000,75195.48,35.32,0.00,42.40,42.40,0.00,-0.30,-0.64,0.65,18.08,-17.14,-9.75,764.00,24320.00,29786.00
84.01,0.000000,0.000000,75194.16,35.32,0.00,42.54,42.54,0.00,-0.18,0.05,0.78,74.35,-49.77,28.06,764.00,24320.00,29786.00
86.01,0.000000,0.000000,75193.22,35.32,0.00,42.64,42.64,0.00,0.03,0.00,0.98,41.73,-19.72,-57.60,764.00,24320.00,29786.00
88.01,0.000000,0.000000,75195.59,35.33,0.00,42.39,42.39,0.00,-0.07,0.21,1.00,50.44,21.45,0.20,764.00,24320.00,29786.00
90.00,0.000000,0.000000,75195.48,35.34,0.00,42.40,42.40,0.00,-0.77,-0.15,0.57,-8.47,16.34,10.70,764.00,24320.00,29786.00
96.00,0.000000,0.000000,75197.87,35.33,0.00,42.14,42.14,0.00,0.57,-0.39,0.71,3.57,-4.11,16.20,764.00,24320.00,29786.00
98.01,0.000000,0.000000,75197.20,35.34,0.00,42.21,42.21,0.00,0.15,-0.67,0.71,54.42,26.76,28.88,764.00,24320.00,29786.00
